,IC objective only_IC_PBP
570,-2.3128597911864452
571,-1.3445850112926105
572,-1.7554720084943662
573,-1.6286216595209082
574,-1.3796096404555902
575,-1.3465682727446358
576,-1.43317322862639
577,-1.7801059004741493
578,-1.16979005545579
579,-0.6729417259054001
580,-1.6266296953788246
581,-1.0633064316492895
582,-0.5703879703212348
583,-1.2625227149276594
584,-1.386362533090656
585,-1.5465658014721557
586,-1.178596824898088
587,-3.9208958741434943
588,-0.580737783910157
589,-0.9925707639767178
590,-0.6551083988827301
591,-1.5743526960269685
592,-1.145089817907996
593,-0.5776695949555233
594,-1.7123376719423675
595,-0.734962973560681
596,-1.0684085078602932
597,-1.785950051954829
598,-1.1597631404091069
599,-0.9573194677508168
600,-1.0749575394140787
601,-1.1812363734649751
602,-1.1252398399714754
603,-1.4748883367449146
604,-1.7671341641035108
605,-1.6920041614781651
606,-2.095646649660268
607,-0.8745365785481083
608,-1.6391542932117684
609,-1.4378662297348812
610,-2.142690142370286
611,-1.3420293729172688
612,-1.878790325236994
613,-0.7541917899035896
614,-2.6803279214322053
615,-1.366530084956075
616,-2.044931239233037
617,-1.4958175924713841
618,-0.9640107234763229
619,-1.2565012069696857
620,-1.023496882871261
621,-1.9856278922537651
622,-1.206382867349008
623,-1.2025951301710815
624,-1.0365891854176583
625,-0.7792492728697641
626,-1.4615393964146486
627,-1.6794082818114415
628,-1.3865993741106306
629,-0.9398862235436326
630,-1.4323159908275729
631,-1.2725565436117192
632,-1.8563746073912966
633,-2.0086301699872204
634,-1.6333109461804944
635,-1.1406441591554863
636,-1.9145704969543718
637,-1.308371737823874
638,-1.5937863028240133
639,-0.9155841027400446
640,-1.5782470132691162
641,-1.5282677614398352
642,-1.3831796737307545
643,-1.40439310820993
644,-1.098750663034934
645,-0.885042712226419
646,-1.866616156420319
647,-1.6537690309808344
648,-2.3522470178211514
649,-1.253567376522509
650,-1.2495023174846718
651,-1.759498666649832
652,-1.3317718780802643
653,-1.4694099969915955
654,-1.9023510504722572
655,-1.535386263763224
656,-1.8942349499499738
657,-1.4048523554897185
658,-0.9468753386627778
659,-1.3330732506236538
660,-2.646365960126083
661,-1.984644877585796
662,-1.5305928334712178
663,-1.1390220827126163
664,-1.7340491774777065
665,-1.0824301320402243
666,-1.4897350569868386
667,-1.136383889700461
668,-1.1249429183229651
669,-1.3573893617511947
670,-1.7809320479246151
671,-1.3453911942789594
672,-1.8233485166856283
673,-1.4545907579066135
674,-1.2828547501530847
675,-1.5882163011392814
676,-0.936024739415565
677,-0.8978046953393991
678,-1.0513493908966267
679,-0.9811039248117982
680,-2.2696367684290766
681,-1.2823995603720248
682,-0.7929037749513823
683,-1.4855226506477484
684,-0.9150995132216236
685,-1.4918189423217665
686,-0.7904521997382392
687,-1.2452471735735902
688,-1.8390608620609203
689,-1.71735983206836
690,-1.6321039752131266
691,-1.4187024737934417
692,-0.8331196065464292
693,-1.3003255796318833
694,-1.4082154132795075
695,-1.7585871399375441
696,-1.4155908517331783
697,-1.0389194784314502
698,-1.1276848804928281
699,-1.2300750174270454
700,-0.9048249956912849
701,-0.8038659134882602
702,-1.3882892079858609
703,-0.8746861852881386
704,-0.8225975685413501
705,-1.7205437636803904
706,-0.9136335445690558
707,-1.242920288444078
708,-0.9088507948528939
709,-0.4426208673327437
710,-1.1937422948670267
711,-1.013900969088691
712,-0.70403730898572
713,-1.126876093094137
714,-0.8915393769594889
715,-1.1003078013675474
716,-1.8102097508766777
717,-1.8962693813337175
718,-0.9790149259816188
719,-1.553855926427981
720,-1.1505000004560841
721,-1.3835370924406403
722,-1.154412953214151
723,-1.8400075261100384
724,-1.2533820217430558
725,-0.9538980152919777
726,-1.6997776212197953
727,-1.0194098265819218
728,-1.4049945613986885
729,-1.4030820481844641
730,-1.046473576490864
731,-1.4805953095611621
732,-0.7735460847092156
733,-1.0158124005004348
734,-1.7448917429085238
735,-1.5858102459643204
736,-1.4458545206766287
737,-1.568470055141498
738,-1.4200091746832744
739,-1.5792043945466683
740,-1.2959190055842194
741,-0.9879990785560476
742,-2.161216271137559
743,-2.031519178629053
744,-0.5756622675387497
745,-0.9369023889909984
746,-1.4235926485104626
747,-1.586535708768534
748,-1.1828965602184556
749,-1.386430455654539
750,-0.7544400967659364
751,-1.2002507802624753
752,-2.0024145826247146
753,-0.8157600592884626
754,-0.8779035782113939
755,-1.3698130788181262
756,-1.8601003069208817
757,-1.1667596646165814
758,-0.9010931812647537
759,-0.9383924266409273
760,-0.9708851419884256
761,-1.4905741678025752
762,-1.2270262228918278
763,-1.3924296466643054
764,-1.5233744057349559
765,-1.6279620467929607
766,-1.0185466898925657
767,-1.8975069526975354
768,-0.6850120019953652
769,-1.2335296355104146
770,-1.112624442730105
771,-0.6113948047390402
772,-1.1176701383045011
773,-1.9805358703073372
774,-1.5158725793361854
775,-0.8238299485686063
776,-1.8555396171273209
777,-1.1810733343732764
778,-1.6296680360114022
779,-1.13895038871654
780,-1.3241131551882654
781,-1.6092868679347165
782,-1.4791930149005057
783,-1.9595323939600515
784,-3.0770414455397614
785,-1.9378286797018045
786,-0.9047597654188287
787,-1.1885770239317321
788,-1.7643840836801563
789,-1.5077073385563986
790,-1.4438600733126132
791,-1.3648614706093427
792,-1.9090936326254344
793,-1.1965559050568078
794,-1.6717540189106206
795,-1.0699360057626923
796,-2.1907967099648444
797,-1.120338313650095
798,-1.8761777860491178
799,-1.631255207448883
800,-1.9939940518225745
801,-0.7426586455507119
802,-1.1547057065558852
803,-1.324366238778105
804,-1.5421079731391063
805,-1.4714698320970558
806,-1.4396580054729924
807,-1.447051031052463
808,-2.0275416809701436
809,-1.9065387848459994
810,-1.8796062534119646
811,-1.4591307133688705
812,-1.154001529614483
813,-0.9878688041790665
814,-1.5970099730965253
815,-1.173767336302667
816,-1.040156764050295
817,-1.210294763147154
818,-1.5760405192875266
819,-0.91304843540835
820,-1.760802012541847
821,-0.9706411302385402
822,-1.2929086133609904
823,-1.3205901475995696
824,-1.8051183007443345
825,-0.7989608430643864
826,-0.9659539086817076
827,-2.030646871933673
828,-1.2176563426030762
829,-1.1191930627021724
830,-1.1317655961786461
831,-1.2171319599849315
832,-1.84871208703722
833,-2.1023085561492727
834,-1.0797641766156367
835,-1.096510619777313
836,-1.283173551642338
837,-0.6643517318911016
838,-1.4777387897371623
839,-1.1847403459117614
840,-1.191107912388807
841,-1.2713038894386466
842,-0.9091657359281481
843,-1.4093328386751038
844,-1.2130519324254612
845,-2.185506217078267
846,-1.475937219004599
847,-2.2208447123709694
848,-2.0226204227492777
849,-1.043614396284773
850,-1.9589353843119617
851,-1.1897343996321885
852,-0.769659595427547
853,-1.1114547457546797
854,-1.297571111218449
855,-1.3446626114775697
856,-1.5384390819679503
857,-1.2530449257187573
858,-1.0551161284073123
859,-1.1032738417094865
860,-1.670606433782649
861,-1.7732758019683839
862,-1.1458620133103825
863,-2.200045896692207
864,-1.6778745268869322
865,-1.6692699227395822
866,-1.6064816176709014
